INTV_QRT,INTV_MON,ACPTCHLD,REJ_PER,REJ_FAM,ACPT_PER,ACPT_FAM,NON_INTV,RECTYPE,SRVY_YR,LIVQRT_P,HHX,REGION,WTIA_HH,WTFA_HH,PSTRAT,PPSU
1,1,0,0,0,1,1,,10,2018,1,000001,3,2417.5,3338,103,19
1,2,,,,,,2,10,2018,1,000003,3,2401.5,0,121,8
1,1,1,0,0,3,1,,10,2018,1,000004,2,2347.5,5188,137,38
1,2,2,0,0,4,1,,10,2018,1,000006,3,2775.8,5259,106,22
1,3,1,0,0,3,1,,10,2018,1,000008,2,2689.2,3204,117,25
1,2,0,0,0,1,1,,10,2018,1,000009,3,3113.6,4497,126,34
1,3,2,0,0,4,1,,10,2018,1,000010,1,1094.8,1512,140,152
1,3,,,,,,1,10,2018,1,000011,3,2462.7,0,103,46
1,1,,,,,,1,10,2018,98,000012,3,2388.3,0,145,23
1,1,1,0,0,2,1,,10,2018,1,000013,3,2388.3,4033,120,21
1,2,0,0,0,2,1,,10,2018,1,000015,2,2197.2,2406,134,32
1,2,0,0,0,3,1,,10,2018,1,000017,3,2357.1,3480,132,8
1,1,1,0,0,3,1,,10,2018,1,000018,4,2189.2,4378,111,47
1,1,0,0,0,2,1,,10,2018,1,000019,2,2309.4,2711,127,10
1,3,0,0,0,2,1,,10,2018,1,000020,3,2629.9,4248,102,15
1,3,0,0,0,1,1,,10,2018,1,000021,1,2406.5,3420,140,63
1,3,0,0,0,1,1,,10,2018,1,000022,2,2476,3669,107,75
1,1,0,0,0,2,1,,10,2018,1,000023,4,2748.6,4123,123,22
1,3,0,1,1,1,1,,10,2018,1,000024,3,2411.4,4220,142,50
1,1,0,0,0,2,1,,10,2018,1,000025,2,2377.7,4977,131,2
1,1,,,,,,1,10,2018,1,000026,3,701.4,0,136,5
1,3,2,0,0,4,1,,10,2018,1,000027,3,2432.7,3128,136,9
1,2,,,,,,2,10,2018,1,000028,1,2180.1,0,101,61
1,2,0,0,0,1,1,,10,2018,1,000029,4,2765.6,3688,129,9
1,2,1,0,0,3,1,,10,2018,1,000030,4,2755.7,4822,111,36
1,2,0,0,0,2,1,,10,2018,1,000031,4,1160.6,1696,114,41
1,3,0,0,0,2,1,,10,2018,1,000032,3,2574.3,3694,135,22
1,2,0,0,0,2,1,,10,2018,1,000033,3,2670.1,3613,126,33
1,2,,,,,,1,10,2018,1,000034,3,701.4,0,120,5
1,1,,,,,,1,10,2018,1,000036,3,2622.9,0,115,19
1,1,,,,,,1,10,2018,1,000037,3,2405.4,0,115,11
1,3,1,0,0,2,1,,10,2018,1,000038,3,2405.4,3886,115,11
1,1,,,,,,1,10,2018,1,000039,2,2305.5,0,117,34
1,3,0,0,0,1,1,,10,2018,1,000040,3,2797.7,3222,104,47
1,3,0,0,0,1,1,,10,2018,1,000041,3,2574.3,4063,135,26
1,2,0,0,0,1,1,,10,2018,1,000043,4,2809.4,3933,100,58
1,3,,,,,,2,10,2018,1,000044,4,2189.2,0,111,47
1,1,2,0,0,5,1,,10,2018,1,000045,4,2865.2,3708,143,12
1,2,0,0,0,2,1,,10,2018,1,000046,1,2685.5,4338,116,18
1,3,2,0,0,3,1,,10,2018,1,000047,2,2197.2,2406,134,32
1,1,3,0,0,5,1,,10,2018,1,000050,3,2391.3,3235,139,6
1,3,0,0,0,2,1,,10,2018,1,000051,3,1021,1885,136,1
1,2,2,0,0,4,1,,10,2018,1,000052,1,2314.1,5381,110,2
1,3,,,,,,1,10,2018,98,000054,2,2689.2,0,133,23
1,2,,,,,,1,10,2018,1,000055,3,2538.6,0,103,20
1,1,,,,,,1,10,2018,1,000056,3,2195.5,0,144,50
1,1,1,0,0,3,1,,10,2018,1,000057,4,2736.6,3451,108,92
1,1,2,0,0,4,1,,10,2018,1,000058,4,2591.5,2902,108,61
1,1,0,0,0,2,1,,10,2018,1,000059,3,2514.1,4023,150,2
1,2,,,,,,1,10,2018,1,000060,2,2326.9,0,117,49
1,2,0,0,0,2,1,,10,2018,1,000061,3,2376.4,3395,121,51
1,1,,,,,,5,10,2018,1,000062,3,2357.1,0,132,8
1,1,,,,,,1,10,2018,1,000064,3,2388.3,0,104,23
1,1,,,,,,1,10,2018,1,000065,2,2308.9,0,134,21
1,2,0,0,0,1,1,,10,2018,1,000066,3,2388.3,4033,120,21
1,3,0,0,0,1,1,,10,2018,1,000067,2,2345.5,3518,134,31
1,2,0,0,0,1,1,,10,2018,1,000068,4,2216.9,2882,143,44
1,2,0,0,0,2,1,,10,2018,1,000069,3,2273.9,3210,136,54
1,2,,,,,,2,10,2018,1,000070,2,2737,0,118,17
1,1,0,0,0,4,1,,10,2018,1,000072,4,2792.2,3457,113,9
1,3,0,0,0,2,1,,10,2018,1,000073,4,2792.2,3457,113,9
1,1,,,,,,1,10,2018,1,000074,1,2684.7,0,110,104
